SwazGroupName,SwazName,WaterUse,Mon,MonRatio
Ashburton River,Ashburton/Hakatere,agriculture,1,0.3881550312445754
Ashburton River,Ashburton/Hakatere,agriculture,2,0.5353138735248504
Ashburton River,Ashburton/Hakatere,agriculture,3,0.276863683701605
Ashburton River,Ashburton/Hakatere,agriculture,4,0.18150408575659527
Ashburton River,Ashburton/Hakatere,agriculture,5,0.1438830675167647
Ashburton River,Ashburton/Hakatere,agriculture,6,0.19162941416814086
Ashburton River,Ashburton/Hakatere,agriculture,7,0.28692641048291745
Ashburton River,Ashburton/Hakatere,agriculture,8,0.21778900984950472
Ashburton River,Ashburton/Hakatere,agriculture,9,0.11871858639563475
Ashburton River,Ashburton/Hakatere,agriculture,10,0.1458223296163222
Ashburton River,Ashburton/Hakatere,agriculture,11,0.3644160390706351
Ashburton River,Ashburton/Hakatere,agriculture,12,0.4192627648807323
Ashburton River,Ashburton/Hakatere,industry,1,0.05862128244799725
Ashburton River,Ashburton/Hakatere,industry,2,0.012038644425994414
Ashburton River,Ashburton/Hakatere,industry,3,0.007057737723608132
Ashburton River,Ashburton/Hakatere,industry,4,0.46808510638297873
Ashburton River,Ashburton/Hakatere,industry,5,0.014183482689704081
Ashburton River,Ashburton/Hakatere,industry,6,0.18043810298848703
Ashburton River,Ashburton/Hakatere,industry,7,0.013921113689095127
Ashburton River,Ashburton/Hakatere,industry,8,0.030411353572000213
Ashburton River,Ashburton/Hakatere,industry,9,0.14930533912690153
Ashburton River,Ashburton/Hakatere,industry,10,0.26948269637423283
Ashburton River,Ashburton/Hakatere,industry,11,0.3524355300859599
Ashburton River,Ashburton/Hakatere,industry,12,0.00959293329957521
Ashburton River,Ashburton/Hakatere,other,1,0.7079815762695177
Ashburton River,Ashburton/Hakatere,other,2,0.5753431145248452
Ashburton River,Ashburton/Hakatere,other,3,0.9158220041458353
Ashburton River,Ashburton/Hakatere,other,4,0.9437853606832639
Ashburton River,Ashburton/Hakatere,other,5,0.9159522821830023
Ashburton River,Ashburton/Hakatere,other,6,0.8351145859523994
Ashburton River,Ashburton/Hakatere,other,7,0.33761547265851916
Ashburton River,Ashburton/Hakatere,other,8,0.30520412521519485
Ashburton River,Ashburton/Hakatere,other,9,0.32992962095644873
Ashburton River,Ashburton/Hakatere,other,10,0.3868508666795463
Ashburton River,Ashburton/Hakatere,other,11,0.3409268131437477
Ashburton River,Ashburton/Hakatere,other,12,0.7055416060382077
Ashburton River,Ashburton/Hakatere,stockwater,1,0.13085933990463572
Ashburton River,Ashburton/Hakatere,stockwater,2,0.11832669359944632
Ashburton River,Ashburton/Hakatere,stockwater,3,0.15403564613395662
Ashburton River,Ashburton/Hakatere,stockwater,4,0.14870239225499413
Ashburton River,Ashburton/Hakatere,stockwater,5,0.09773089077270199
Ashburton River,Ashburton/Hakatere,stockwater,6,0.15761448349307774
Ashburton River,Ashburton/Hakatere,stockwater,7,0.11250312577799591
Ashburton River,Ashburton/Hakatere,stockwater,8,0.07370825415871758
Ashburton River,Ashburton/Hakatere,stockwater,9,0.07627637045681251
Ashburton River,Ashburton/Hakatere,stockwater,10,0.10133957498200619
Ashburton River,Ashburton/Hakatere,stockwater,11,0.11143638587881836
Ashburton River,Ashburton/Hakatere,stockwater,12,0.10128925253705767
Ashburton River,Ashburton/Hakatere,water_supply,1,0.7827229427059713
Ashburton River,Ashburton/Hakatere,water_supply,2,1.1773687289439683
Ashburton River,Ashburton/Hakatere,water_supply,3,0.9571187674824976
Ashburton River,Ashburton/Hakatere,water_supply,4,0.6142418571053323
Ashburton River,Ashburton/Hakatere,water_supply,5,0.5191230636926454
Ashburton River,Ashburton/Hakatere,water_supply,6,0.42625792499462706
Ashburton River,Ashburton/Hakatere,water_supply,7,0.11293131490741505
Ashburton River,Ashburton/Hakatere,water_supply,8,0.10329176733943961
Ashburton River,Ashburton/Hakatere,water_supply,9,0.13590589703178357
Ashburton River,Ashburton/Hakatere,water_supply,10,0.19900835833819316
Ashburton River,Ashburton/Hakatere,water_supply,11,0.30799655837333145
Ashburton River,Ashburton/Hakatere,water_supply,12,0.33389685396914975
Ashburton River,Lagmhor,agriculture,1,0.47951136772980807
Ashburton River,Lagmhor,agriculture,2,0.5799060943194994
Ashburton River,Lagmhor,agriculture,3,0.3206895023316032
Ashburton River,Lagmhor,agriculture,4,0.10824620627751809
Ashburton River,Lagmhor,agriculture,5,0.21492334352441403
Ashburton River,Lagmhor,agriculture,6,0.12945055843876271
Ashburton River,Lagmhor,agriculture,7,0.17792229065332452
Ashburton River,Lagmhor,agriculture,8,0.14479742046442678
Ashburton River,Lagmhor,agriculture,9,0.040074184603157134
Ashburton River,Lagmhor,agriculture,10,0.2418891869039336
Ashburton River,Lagmhor,agriculture,11,0.6435382144078947
Ashburton River,Lagmhor,agriculture,12,0.6653771170020407
Ashburton River,Lagmhor,stockwater,1,0.3260784914499214
Ashburton River,Lagmhor,stockwater,2,0.3024806575093277
Ashburton River,Lagmhor,stockwater,3,0.28136995369846707
Ashburton River,Lagmhor,stockwater,4,0.44201887860035094
Ashburton River,Lagmhor,stockwater,5,0.5557553048264939
Ashburton River,Lagmhor,stockwater,6,0.4863475502453511
Ashburton River,Lagmhor,stockwater,7,0.3488863989570844
Ashburton River,Lagmhor,stockwater,8,0.5504573747249373
Ashburton River,Lagmhor,stockwater,9,0.650153612461825
Ashburton River,Lagmhor,stockwater,10,0.6557350821883573
Ashburton River,Lagmhor,stockwater,11,0.601233017860219
Ashburton River,Lagmhor,stockwater,12,0.3513980450307594
Ashburton River,Lagmhor,water_supply,1,0.5414385266301642
Ashburton River,Lagmhor,water_supply,2,0.49738219895287955
Ashburton River,Lagmhor,water_supply,3,0.2811100049776008
Ashburton River,Lagmhor,water_supply,4,0.2594830911662595
Ashburton River,Lagmhor,water_supply,5,0.2677119628339141
Ashburton River,Lagmhor,water_supply,6,0.2812566970982812
Ashburton River,Lagmhor,water_supply,7,0.19313091090094572
Ashburton River,Lagmhor,water_supply,8,0.22461423593827776
Ashburton River,Lagmhor,water_supply,9,0.26316917406026313
Ashburton River,Lagmhor,water_supply,10,0.32984901277584205
Ashburton River,Lagmhor,water_supply,11,0.45565985169945566
Ashburton River,Lagmhor,water_supply,12,0.4856893977103036
Ashburton River,Mt Harding,agriculture,1,0.9670163779313683
Ashburton River,Mt Harding,agriculture,2,0.6974975408302132
Ashburton River,Mt Harding,agriculture,3,0.4175167626259827
Ashburton River,Mt Harding,agriculture,4,0.14465790429110523
Ashburton River,Mt Harding,agriculture,5,0.1331764228817572
Ashburton River,Mt Harding,agriculture,6,0.14769800690654952
Ashburton River,Mt Harding,agriculture,7,0.19774989613226063
Ashburton River,Mt Harding,agriculture,8,0.12694025954223462
Ashburton River,Mt Harding,agriculture,9,0.15532135067325406
Ashburton River,Mt Harding,agriculture,10,0.2929920328370607
Ashburton River,Mt Harding,agriculture,11,0.9269381553272895
Ashburton River,Mt Harding,agriculture,12,0.8039711326013597
Ashburton River,Mt Harding,stockwater,1,0.8004735404546114
Ashburton River,Mt Harding,stockwater,2,0.6808795978478059
Ashburton River,Mt Harding,stockwater,3,0.7792513955229058
Ashburton River,Mt Harding,stockwater,4,0.8697234449287422
Ashburton River,Mt Harding,stockwater,5,0.7464138185143082
Ashburton River,Mt Harding,stockwater,6,0.8023548992707935
Ashburton River,Mt Harding,stockwater,7,0.7688811782242961
Ashburton River,Mt Harding,stockwater,8,0.5890105144736653
Ashburton River,Mt Harding,stockwater,9,0.5947404738657881
Ashburton River,Mt Harding,stockwater,10,0.5987894570980556
Ashburton River,Mt Harding,stockwater,11,0.6142545445700085
Ashburton River,Mt Harding,stockwater,12,0.6775996960087765
Ashburton River,North Branch,agriculture,1,0.6706817113272894
Ashburton River,North Branch,agriculture,2,0.4978595932744569
Ashburton River,North Branch,agriculture,3,0.36289433108899793
Ashburton River,North Branch,agriculture,4,0.2405306046989552
Ashburton River,North Branch,agriculture,5,0.13927266736558805
Ashburton River,North Branch,agriculture,6,0.17378827751658515
Ashburton River,North Branch,agriculture,7,0.11741898537526058
Ashburton River,North Branch,agriculture,8,0.16189475891075358
Ashburton River,North Branch,agriculture,9,0.1891836964682011
Ashburton River,North Branch,agriculture,10,0.29788274154771127
Ashburton River,North Branch,agriculture,11,0.5829636282350877
Ashburton River,North Branch,agriculture,12,0.6889477035616809
Ashburton River,North Branch,other,1,1.4656296814080567
Ashburton River,North Branch,other,2,0.3809476933164132
Ashburton River,North Branch,other,3,9.893472977664622
Ashburton River,North Branch,other,4,1.372135344685461
Ashburton River,North Branch,other,5,0.24074172342313804
Ashburton River,North Branch,other,6,0.15331989339541766
Ashburton River,North Branch,other,7,0.43464833414807535
Ashburton River,North Branch,other,8,0.23564895775570988
Ashburton River,North Branch,other,9,0.3392772619486408
Ashburton River,North Branch,other,10,0.27942570627332575
Ashburton River,North Branch,other,11,0.45987095624545543
Ashburton River,North Branch,other,12,2.2299746188053944
Ashburton River,North Branch,stockwater,1,0.5178949245788019
Ashburton River,North Branch,stockwater,2,0.5193838096004985
Ashburton River,North Branch,stockwater,3,0.5029182321966313
Ashburton River,North Branch,stockwater,4,0.5147467894694923
Ashburton River,North Branch,stockwater,5,0.516420971738987
Ashburton River,North Branch,stockwater,6,0.8003589562504487
Ashburton River,North Branch,stockwater,7,0.43870037636603376
Ashburton River,North Branch,stockwater,8,0.4633399707753559
Ashburton River,North Branch,stockwater,9,0.4639190849938682
Ashburton River,North Branch,stockwater,10,0.43330057118618837
Ashburton River,North Branch,stockwater,11,0.5151006509430934
Ashburton River,North Branch,stockwater,12,0.5228033822788695
Ashburton River,North Branch,water_supply,1,0.4106383747395802
Ashburton River,North Branch,water_supply,2,0.3904510486247217
Ashburton River,North Branch,water_supply,3,0.40294319536603285
Ashburton River,North Branch,water_supply,4,0.4443946690558853
Ashburton River,North Branch,water_supply,5,0.24035694071460398
Ashburton River,North Branch,water_supply,6,0.18662037555530667
Ashburton River,North Branch,water_supply,7,0.3607943255578704
Ashburton River,North Branch,water_supply,8,0.4384325437445056
Ashburton River,North Branch,water_supply,9,0.3476188698498028
Ashburton River,North Branch,water_supply,10,0.35819313816399523
Ashburton River,North Branch,water_supply,11,0.3993106108684561
Ashburton River,North Branch,water_supply,12,0.46237310179554186
Ashburton River,OShea,agriculture,1,0.597281738621877
Ashburton River,OShea,agriculture,2,0.6256469957659456
Ashburton River,OShea,agriculture,3,0.4180093087561306
Ashburton River,OShea,agriculture,4,0.3705669935642253
Ashburton River,OShea,agriculture,5,0.09413365746165747
Ashburton River,OShea,agriculture,6,0.025047579098433807
Ashburton River,OShea,agriculture,7,0.020511150386706284
Ashburton River,OShea,agriculture,8,0.04807391291819169
Ashburton River,OShea,agriculture,9,0.06062887734363559
Ashburton River,OShea,agriculture,10,0.4392300007141199
Ashburton River,OShea,agriculture,11,0.5970682717475895
Ashburton River,OShea,agriculture,12,0.6355389980687027
Ashburton River,OShea,other,1,1.1409233506343972
Ashburton River,OShea,other,2,0.5267442592227373
Ashburton River,OShea,other,3,2.1983435717913764
Ashburton River,OShea,other,4,1.1222645206841795
Ashburton River,OShea,other,5,0.713389114555043
Ashburton River,OShea,other,6,0.587189243204406
Ashburton River,OShea,other,7,0.39583518955225283
Ashburton River,OShea,other,8,0.2665623655154809
Ashburton River,OShea,other,9,0.33616138161791004
Ashburton River,OShea,other,10,0.31523409307539924
Ashburton River,OShea,other,11,0.41412320889864473
Ashburton River,OShea,other,12,1.4677581124218009
Ashburton River,Pudding Hill,other,1,1.1409233506343972
Ashburton River,Pudding Hill,other,2,0.5267442592227373
Ashburton River,Pudding Hill,other,3,2.1983435717913764
Ashburton River,Pudding Hill,other,4,1.1222645206841795
Ashburton River,Pudding Hill,other,5,0.713389114555043
Ashburton River,Pudding Hill,other,6,0.587189243204406
Ashburton River,Pudding Hill,other,7,0.39583518955225283
Ashburton River,Pudding Hill,other,8,0.2665623655154809
Ashburton River,Pudding Hill,other,9,0.33616138161791004
Ashburton River,Pudding Hill,other,10,0.31523409307539924
Ashburton River,Pudding Hill,other,11,0.41412320889864473
Ashburton River,Pudding Hill,other,12,1.4677581124218009
Ashburton River,Pudding Hill,stockwater,1,1.3241420797318102
Ashburton River,Pudding Hill,stockwater,2,1.4028875577069955
Ashburton River,Pudding Hill,stockwater,3,1.3427663313737221
Ashburton River,Pudding Hill,stockwater,4,1.1275071827557224
Ashburton River,Pudding Hill,stockwater,5,1.0278466540962918
Ashburton River,Pudding Hill,stockwater,6,0.9241220192006784
Ashburton River,Pudding Hill,stockwater,7,0.7793368931884839
Ashburton River,Pudding Hill,stockwater,8,0.8888954012833032
Ashburton River,Pudding Hill,stockwater,9,1.0223012768912985
Ashburton River,Pudding Hill,stockwater,10,1.0073119771969297
Ashburton River,Pudding Hill,stockwater,11,1.0530394987159684
Ashburton River,Pudding Hill,stockwater,12,1.388139671547326
Ashburton River,South Branch,agriculture,1,0.8671839045419258
Ashburton River,South Branch,agriculture,2,0.7394359787134863
Ashburton River,South Branch,agriculture,3,0.4379039298702386
Ashburton River,South Branch,agriculture,4,0.3077869254964372
Ashburton River,South Branch,agriculture,5,0.1648578709275866
Ashburton River,South Branch,agriculture,6,0.13322638569074263
Ashburton River,South Branch,agriculture,7,0.328829483346195
Ashburton River,South Branch,agriculture,8,0.2117942073994438
Ashburton River,South Branch,agriculture,9,0.23436151041418862
Ashburton River,South Branch,agriculture,10,0.3473362290013819
Ashburton River,South Branch,agriculture,11,0.7633214902499704
Ashburton River,South Branch,agriculture,12,0.9038736523936247
Ashburton River,South Branch,industry,1,0.05862128244799725
Ashburton River,South Branch,industry,2,0.012038644425994414
Ashburton River,South Branch,industry,3,0.007057737723608132
Ashburton River,South Branch,industry,4,0.46808510638297873
Ashburton River,South Branch,industry,5,0.014183482689704081
Ashburton River,South Branch,industry,6,0.18043810298848703
Ashburton River,South Branch,industry,7,0.013921113689095127
Ashburton River,South Branch,industry,8,0.030411353572000213
Ashburton River,South Branch,industry,9,0.14930533912690153
Ashburton River,South Branch,industry,10,0.26948269637423283
Ashburton River,South Branch,industry,11,0.3524355300859599
Ashburton River,South Branch,industry,12,0.00959293329957521
Ashburton River,South Branch,other,1,1.1409233506343972
Ashburton River,South Branch,other,2,0.5267442592227373
Ashburton River,South Branch,other,3,2.1983435717913764
Ashburton River,South Branch,other,4,1.1222645206841795
Ashburton River,South Branch,other,5,0.713389114555043
Ashburton River,South Branch,other,6,0.587189243204406
Ashburton River,South Branch,other,7,0.39583518955225283
Ashburton River,South Branch,other,8,0.2665623655154809
Ashburton River,South Branch,other,9,0.33616138161791004
Ashburton River,South Branch,other,10,0.31523409307539924
Ashburton River,South Branch,other,11,0.41412320889864473
Ashburton River,South Branch,other,12,1.4677581124218009
Ashburton River,South Branch,stockwater,1,0.6955033421602304
Ashburton River,South Branch,stockwater,2,0.7161094376995618
Ashburton River,South Branch,stockwater,3,0.7181700851773786
Ashburton River,South Branch,stockwater,4,0.638102246335172
Ashburton River,South Branch,stockwater,5,0.6892042552304978
Ashburton River,South Branch,stockwater,6,0.653044868204406
Ashburton River,South Branch,stockwater,7,0.6512100954176694
Ashburton River,South Branch,stockwater,8,0.6389513062454667
Ashburton River,South Branch,stockwater,9,0.7083607253864138
Ashburton River,South Branch,stockwater,10,0.6788877109527387
Ashburton River,South Branch,stockwater,11,0.7600421939958355
Ashburton River,South Branch,stockwater,12,0.7407584170930083
Ashburton River,South Branch,water_supply,1,0.21034587840926408
Ashburton River,South Branch,water_supply,2,0.19465766905665682
Ashburton River,South Branch,water_supply,3,0.16956168418914117
Ashburton River,South Branch,water_supply,4,0.16007977746286675
Ashburton River,South Branch,water_supply,5,0.16148610899487023
Ashburton River,South Branch,water_supply,6,0.17089172308822756
Ashburton River,South Branch,water_supply,7,0.132002641068617
Ashburton River,South Branch,water_supply,8,0.13456752501396718
Ashburton River,South Branch,water_supply,9,0.14622369180706452
Ashburton River,South Branch,water_supply,10,0.15650871044745798
Ashburton River,South Branch,water_supply,11,0.18138875767595655
Ashburton River,South Branch,water_supply,12,0.21578038498654073
Ashburton River,Taylors Stream,agriculture,1,1.735915366330729
Ashburton River,Taylors Stream,agriculture,2,2.026300912294462
Ashburton River,Taylors Stream,agriculture,3,1.8024070074265195
Ashburton River,Taylors Stream,agriculture,4,0.11366397502121676
Ashburton River,Taylors Stream,agriculture,5,1.6654513332155954
Ashburton River,Taylors Stream,agriculture,6,0.0018002130864469671
Ashburton River,Taylors Stream,agriculture,7,0.2539261591308946
Ashburton River,Taylors Stream,agriculture,8,0.1499131208946354
Ashburton River,Taylors Stream,agriculture,9,0.24471538805772491
Ashburton River,Taylors Stream,agriculture,10,0.6123321350251077
Ashburton River,Taylors Stream,agriculture,11,1.0930245301830144
Ashburton River,Taylors Stream,agriculture,12,1.2329713352369607
Ashburton River,Taylors Stream,industry,1,0.05862128244799725
Ashburton River,Taylors Stream,industry,2,0.012038644425994414
Ashburton River,Taylors Stream,industry,3,0.007057737723608132
Ashburton River,Taylors Stream,industry,4,0.46808510638297873
Ashburton River,Taylors Stream,industry,5,0.014183482689704081
Ashburton River,Taylors Stream,industry,6,0.18043810298848703
Ashburton River,Taylors Stream,industry,7,0.013921113689095127
Ashburton River,Taylors Stream,industry,8,0.030411353572000213
Ashburton River,Taylors Stream,industry,9,0.14930533912690153
Ashburton River,Taylors Stream,industry,10,0.26948269637423283
Ashburton River,Taylors Stream,industry,11,0.3524355300859599
Ashburton River,Taylors Stream,industry,12,0.00959293329957521
Ashburton River,Taylors Stream,stockwater,1,0.1883364973610502
Ashburton River,Taylors Stream,stockwater,2,0.14526200427934446
